basin,L__NSE,L__KGE,L__logNSE,G__NSE,G__KGE,G__logNSE,G+T__NSE,G+T__KGE,G+T__logNSE,G+M__NSE,G+M__KGE,G+M__logNSE,G+T+M__NSE,G+T+M__KGE,G+T+M__logNSE
02118500,0.4745194045778744,0.5082977892711513,0.25787676025508516,0.39110506979008575,0.46610146385513535,,0.38528955265836756,0.470439011400337,,0.3875295225459019,0.5149820292039029,,0.3897435231921196,0.5316660165368176,
01139000,0.6480517888721254,0.8073636165147865,0.7741277877547992,0.7092812764203075,0.579757595035402,0.6043449537940457,0.6818354922434923,0.6374865329971849,0.5885184744069358,0.7264883444714538,0.7395356257488702,0.620015265923286,0.7264240893697255,0.7566169175078606,0.6207786986872111
01187300,0.6809438494941573,0.754470081453921,0.784502399502022,0.6188847913979484,0.5315073105048302,0.6022711428925424,0.615736909181829,0.5220328653667455,0.5567987890669728,0.654543921564031,0.647303352114434,0.5526925568875357,0.636640579054684,0.6548259943824775,0.5428280169182411
03504000,0.6917372713116411,0.8062975882544167,0.717137766259048,0.6789667952158059,0.7351457602111883,0.5243004632541619,0.6548415002976559,0.6935500808935492,0.4885928272258633,0.6383534072553859,0.6859168419227132,0.4782829157739763,0.6299205224692735,0.6645990601743594,0.4866797429033671
02011400,0.7876537881564429,0.8223674936160367,0.676590966591711,0.7144101908762912,0.688504037299162,,0.7064263202206925,0.7226966435228529,,0.6300088167373086,0.7011282446635523,,0.627514139292015,0.7183616139646443,
01568000,0.8347132360246873,0.8306278914945343,0.7626783537045615,0.7592498760188517,0.5901595039608264,,0.7612403820732894,0.6189790978201537,,0.7807334439993078,0.7199559281726245,,0.764320132357088,0.7118688544618177,
01543500,0.8265317420912432,0.8735717100133323,0.7816504819125782,0.7381911979938437,-1.4268882567742145,0.6324830738594076,0.730859465870168,-1.9118622435264039,0.6321668037728007,0.7544960013991786,-1.8236249685734773,0.6023948266500087,0.7414277316746295,-4.558470080446975,0.6102259676285625
01031500,0.7725398470678927,0.6938577277618321,0.8517658173594808,0.6996066650822423,0.4668927610273328,0.6480850090623741,0.6866943061560945,0.4797468213131384,0.6473946610943307,0.7300268154019696,0.5752807227921958,0.6718823679100524,0.7316948079224375,0.5485087404248328,0.6555668371557535
01567500,0.6540013905009817,0.8138426994714871,0.6889399803698613,0.7356943478521704,0.7328695809517095,,0.7215653535506359,0.6268364241419094,,0.7071158618300847,0.8035054090813554,,0.6801827602807705,0.7688152538211744,
02027500,0.43495602060313354,0.5713215965767855,0.6328479802734353,0.4758174710113369,0.4087322570152227,,0.496158021428686,0.2592688041836373,,0.4778752320104512,0.3715281745222314,,0.47963795414877614,0.42514735328135406,
03010655,0.8153347579701354,0.815427280138468,0.7737752876064069,0.7055551844486508,-0.3529012942603232,,0.7250843739967799,-0.09517591855830505,,0.6680875527409414,0.21263869643669975,,0.6604449608814842,0.3328887218398933,
04216418,0.6588970825903065,0.6351229431481357,0.7962690309852536,0.5439541109472816,-21.338542378291493,,0.5469176689980695,-18.88600014499306,,0.5047094419759338,-28.90773275779249,,0.4957952547351974,-28.223231746949107,
02152100,0.4618639044274233,0.46453082859526784,0.3568846828872359,0.45879498069661534,0.42876131401433004,,0.4517703251664014,0.4092157887430912,,0.44974937731160186,0.4667210483717123,,0.4468639405557437,0.46099666064006684,
01510000,0.7394691929261968,0.8046228447347209,0.783836279310154,0.6596272690161508,0.5878023554329238,0.6291623082108356,0.6636116226237615,0.6015995024164154,0.6193691354229368,0.6730417600669684,0.5313984573722371,0.6266865021462734,0.6628505616080647,0.5971047718062885,0.6054046035948827
03026500,0.7539982213146607,0.7396493630138403,0.768095051343419,0.6998679951303494,-0.6077365461007946,0.6486418949221489,0.6993066304265824,-0.4513971525871887,0.6487942321164003,0.6783016634051711,-0.8453407800926417,0.5689898858908927,0.6474294742489315,-0.5679850629801969,0.5780050814610874
02128000,0.4769433404358141,0.484907733013108,0.1968168351181954,0.435591446499665,0.5144275215002594,,0.438748473723747,0.5453612926451666,,0.3773260310366589,0.5338610065029836,,0.4032646326974567,0.5407056678260259,
04256000,0.7253719843464314,0.7549587829634484,0.846461516117388,0.7599628853007022,0.5748522781411759,0.6220217646686903,0.7457397465332513,0.6028097674142988,0.63058824344748,0.7510909970323039,0.6200642656958999,0.5952509294835574,0.7374776710632386,0.6000465362431489,0.624101625982468
01620500,0.2669000109884176,0.6081943691696106,0.5676362032543132,0.543664283984821,0.41573101570548854,,0.5867778350114582,0.44851058708247526,,0.5102874968837243,0.582698054357122,,0.49448972813598663,0.5328591916447138,
03455500,0.4981538420313803,0.7247542523687721,0.7136336758776854,0.5200757905822502,0.4127368838854368,0.4970161531260948,0.5229091905742064,0.4139637061127737,0.5094699823211583,0.5044987891612197,0.5728723971145762,0.5602943291958598,0.4891033115525443,0.48648094340834663,0.5187043916983121
01451800,0.7830097745720986,0.8405371375417583,0.782373531639393,0.7346137701712152,0.3005699158078797,0.6319251034768453,0.734065913229425,0.3838992555307783,0.6027483486894119,0.7718331307179732,0.4683664277430393,0.58561145667378,0.7585993363826168,0.6262199390653703,0.5628170901125803
